"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"gd-1010051946951","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010051946951","","National Account Manager - Level 1","Airgas","Radnor, PA","2026-03-03","","direct_data","yearly",139000.0,157000.0,"USD",False,"","","sponsored","gina.kim@airliquide.com, -accommodationrequest@airgas.com","R10084617 National Account Manager \\- Level 1 (Open)
Location:


Radnor, PA (Airgas HO) \\- Management
**How will you CONTRIBUTE and GROW?**
-------------------------------------

Airgas is Hiring for a National Account Manager \\- Level 1!
At Airgas, we are committed to building a diverse and inclusive workplace that embraces the diversity of our employees, our customers, patients, community stakeholders and cultures across the world.


We are looking for you!


* Target Base Salary: $139K – $157K (DOE)

Recruiter: Gina Kim / gina.kim@airliquide.com / (424\\) 241\\-2293


The primary function of the Inside National Account Manager Level 1 is to renew and grow existing customer accounts that are national in scope coming back to the group from Regional Strategic Account Manager (i.e. spanning multiple regions/divisions), and that may require significant value\\-added consultation or technical service. In addition, this position is responsible for leading the responses to commodity\\-based RFP (Requests for Proposal) for both cylinders, bulk, and hardgoods, as determined by management, as well as for developing new National Accounts within customers currently served by multiple regional geographies as determined by management. The position will be responsible for named customer account management, pricing management, renewals, and dispute management within the National Account Manager (National Accounts) portfolio.


* Establish contracts with, and profitably grow, new and existing customers in several markets by driving maximum consumption of Airgas products and services, effectively implementing pricing actions and promoting an optimal cost to serve position across client operations
* Another major responsibility of this position will be to lead the joint effort with Omnia Partners on the Public Sector.
* This position is responsible for improving the sales volume and profitability of the selected National Account Manager portfolio. Success will require working with each Region and Market Segment to ensure the target sales and profit goals are met within the customers in the portfolio.
* Manage the contract life cycle for each customer
* Collaborate closely with the regional and TA teams to identify areas of customer value creation and shift focus from product price to process savings
* Document and gain customer agreement over cost savings and value creation based on spend optimization, productivity gains and identified process improvements
* Promote and exemplify Sales Force Effectiveness behaviors thereby increasing the effective sales band\\-width at Airgas
* Provide dotted line mentoring and leadership to regional and local sales teams
* Develop and maintain key relationships with counterparts in the Airgas regional strategic accounts organization
* Position is remote with Travel expected 20% of the time

**\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_**
----------------------------------------------------

**Are you a MATCH?**
--------------------

**Required Qualifications:**

* Executive sales professional, effective and capable in situations ranging from the corporate office to the production floor
* Experience dealing with customers’ contract language and exceptional ability to negotiate and close significant contracts incorporating standard Airgas language
* Ability to manage through organizational tension, sustains results and relationships and delegates tasks effectively
* Strong presentation skills and financial acumen

**Preferred Qualifications:**

* Some track record of demonstrated performance and achievement in sales
* Strong influencing and teamwork skills
* Experience with and understanding of Airgas business: branch and basic operations, sales, asset/capital management; product lines and sales channels
* Knowledgeable in customer’s business and markets and able to adapt Airgas value proposition to unique customer circumstances
* Promotes collaboration, coordination, and teamwork across organizational boundaries
* Drive for Results: Bottom\\-line oriented; steadfastly pushes self and others for results; able to stand ground as is resilient in the face of challenging customer situations
* Organizational Agility: Achieve results through formal channels as well as the informal network.
* Effective Communicator: Ensures a smooth flow of information between self and others, at times in a virtual/remote setting, through clear speaking and writing, encouragement of open expression of ideas, and effective listening
* Adept at time management and prioritization
* Ability to manage workflow through the utilization of the companies chosen CRM (Salesforce.com “SFDC”)

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_


**Benefits**

We care about and support our Airgas Families. This is evident not only through our competitive compensation but also through a comprehensive benefits package that includes medical, dental, and vision plans, short\\-term and long\\-term disability, life and accidental death and dismemberment (AD\\&D) insurance, Employee Assistance Program (EAP), pre\\-tax commuter transportation benefit, parental leave, vacation, sick time, floating holidays, jury duty and funeral/bereavement leave, and paid holidays for all eligible full\\-time employees.


Additionally, we offer our eligible employees a 401k plan with company matching funds, tuition reimbursement, discounted college tuition for eligible employees’ dependents, and an Airgas Scholarship Program for dependent children.


Associates who are members of collective bargaining units should review their bargaining agreement to determine whether they are eligible for some or all of the benefits described here and to see any special terms or conditions for eligibility.


\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_


**Your DIFFERENCES enhance our PERFORMANCE**

At Airgas, we are committed to building a workplace that embraces the diversity of our employees, our customers, patients, community stakeholders and cultures across the world.


We welcome and consider applications from all qualified applicants, regardless of their race, gender, sexual orientation, religion, disability or any other protected characteristic. We strongly believe a diverse organization opens up opportunities for people to express their talent, both individually and collectively and it helps foster our ability to innovate by living our fundamentals, acting for our success and creating an engaging environment in a changing world.


\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_


**About Airgas**

Airgas, an Air Liquide company, is a leading U.S. supplier of industrial, medical and specialty gases, as well as hardgoods and related products; one of the largest U.S. suppliers of safety products; and a leading U.S. supplier of ammonia products and process chemicals. Through the passion and diversity of its 18,000 associates, Airgas fosters a culture of safety, customer success, sustainability and innovation. Airgas associates are empowered to share ideas, take initiative and make decisions.


Airgas is a subsidiary of Air Liquide, a world leader in gases, technologies and services for industry and healthcare. Present in 60 countries with approximately 66,500 employees, Air Liquide serves more than 4 million customers and patients.


Join us for a stimulating experience: At Airgas, you matter and so does the work you do. As a member of our team, you play an important role in the success of your team, making sure our products are created sustainably and delivered safely and efficiently. In turn, you’ll find a welcoming workplace where you’re valued for who you are and where you can fill your potential while growing a fulfilling career — whatever path you choose.


\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_


**Equal Employment Opportunity Information**  



We are an equal opportunity employer. We welcome all qualified applicants regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other protected characteristic.


Airgas, an Air Liquide Company is a Government contractor subject to the Vietnam Era Veterans’ Readjustment Assistance Act of 1974 and Section 503 of the Rehabilitation Act of 1973\\.


Airgas does not discriminate against qualified applicants with disabilities, and is committed to providing reasonable accommodations to the known disabilities of such individuals so as to ensure equal access to benefits and privileges of employment. If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact us by email at us\\-accommodationrequest@airgas.com.


\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_


California Privacy Notice","","https://www.glassdoor.com/Overview/W-EI_IE18.htm","https://media.glassdoor.com/sql/18/airgas-squarelogo-1464014726156.png","","","","","","","","","","",""
"gd-1010052270797","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010052270797","","Distribution Account Manager","Commscope","","2026-03-03","","","","","","",True,"","","sponsored","","In our ‘always on’ world, we believe it’s essential to have a genuine connection with the work you do.



Ruckus Networks is seeking a highly qualified **Distribution Account Manager** to join our team. This role will be responsible for managing distribution relationships within North America. The ideal candidate resides in the Chicago area or Midwest region of the United States.  



For the hard\\-working people in the world’s most demanding industries, “good enough” networking isn’t good enough. They need networks that meet their organization’s exacting needs. RUCKUS® builds and delivers purpose\\-driven networks that perform in the tough environments of the industries we serve. Together with our trusted go\\-to\\-market partners, we empower our customers to deliver exceptional experiences to the guests, students, residents, citizens, and employees who are counting on them. If you’re passionate about sales and building positive relationships, this is the role for you!

.
**Key Responsibilities:**

The Distribution Account Manager will oversee all business operations through assigned distribution partners. Reporting to the Vice President of Global Distribution, the individual will manage, develop, and drive the success of distributors, collaborating closely with local Channel and End\\-User sales teams.

The successful candidate will identify and execute strategic initiatives to distinguish Ruckus Networks and generate incremental revenue through distributors, facilitating effective adoption and growth of both new and existing products. A specific emphasis will be placed on supporting distributors in recruiting and developing new distribution\\-managed resellers.
* **Operational Efficiency:** Serve as the primary operational contact for assigned distributors, promptly addressing inquiries to maintain seamless collaboration.
* **System Expertise:** Resolve platform\\-related issues faced by distributors, including portal access, login troubleshooting, and CPQ matters such as license allocation.
* **Program Adoption \\& Enablement:** Clearly communicate program details, provide progress updates, and assist distributors in accessing necessary training and certifications.
* **Channel Pipeline Optimization:** Coordinate pipeline management and supply requirements in partnership with distribution.
* **Business Insights Enhancement:** Prepare reports for Quarterly Business Reviews (QBRs) and ROI analyses and contribute to distribution\\-focused presentations for internal and external audiences.
* **Channel Marketing Support:** Promote high attendance at distributor marketing events and ensure thorough follow\\-up to maximize sales conversions.
* **Process Streamlining:** Evaluate and refine operational workflows, document improvements, and facilitate ease of business for distributors.


**Required Qualifications:**
* **Distribution Management Experience:** Minimum of 3 years' experience in distribution and channel relationship building/partner management, preferably within the technology sector and involving Distributors, Resellers, System Integrators, alliances, and strategic partners.
* **Distributor/Channel Mindset:** Comprehensive understanding of indirect sales models and the pivotal role of distribution partners in the technology ecosystem; ability to articulate and align business strategies from both the distributors and Ruckus solution perspectives.
* **Operational Acumen:** Demonstrated proficiency in complex internal systems (such as Salesforce CRM and Partner Portals) and strong process improvement skills.
* **Service \\& Support Excellence:** Proven capability to manage a high volume of diverse inquiries, maintaining responsive liaison to ensure partner satisfaction.
* **Communication \\& Clarity:** Exceptional written and verbal communication skills, with the ability to explain intricate program details and operational procedures effectively.
* **Data \\& System Discipline:** Experience in sales data management, pipeline maintenance, and use of reporting tools for business review purposes.
* **Motivation:** Strong motivation and integrity, complemented by interpersonal, project management, negotiation, change management, problem\\-solving, and process management expertise.


Our salary ranges consider a wide variety of factors, including but not limited to benchmarking by independent third\\-party consultants, skill sets, years of experience, training, education, geography, and other business needs. Depending on experience, the range can be higher for candidates with exceptional experience and a demonstrated history of successful performance. This position's expected total compensation (base salary and commission range). The candidate will be rewarded with a comprehensive benefits package, including medical, dental, and vision plans, life and accidental death insurance, a 401(k) plan, and participation in the Company’s Incentive Plan. Candidates starting with the Company will be eligible for eleven paid holidays in a full calendar year, two weeks of paid vacation (prorated based on start date), as well as other leave options.

***Important Candidate Notice****: On January 9, 2026, CommScope finalized the sale of its Connectivity and Cable Solutions segment, which included the CommScope name and brand, to Amphenol Corporation. The remaining businesses — Access Networks Solutions**(now rebranded as* ***Aurora Networks****) and* ***RUCKUS Networks*** *have been unified under the new parent company, renamed as* ***Vistance Networks****. The role being advertised is part of RUCKUS Networks.*

  


**Why Join Us?**

  



Vistance Networks shapes the future of communications technology, pushing past what is possible. We deliver solutions that bring reliability and performance to a world always in motion. Our global team of innovators and employees are trusted advisors who listen to customers first, then deliver value.

  



RUCKUS Networks delivers purpose\\-driven enterprise networks that enable superior business outcomes in demanding environments. Our solutions combine AI\\-powered automation, proactive network assurance, and context\\-aware security, providing exceptional performance with simplified management.

  



If you want to grow your career alongside bright, passionate, and caring people who strive to create what's next…..come connect to your future at Vistance Networks.



Vistance Networks is an Equal Opportunity Employer (EEO), including people with disabilities and veterans.



\\#LI\\-REMOTE  

\\#LI\\-CB1","","https://www.glassdoor.com/Overview/W-EI_IE7061.htm","https://media.glassdoor.com/sql/7061/commscope-squareLogo-1691384361544.png","","","","","","","","","","",""
"gd-1010051867896","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010051867896","","Inside Sales Account Manager, Install Base - Diagnostic Imaging","Philips","","2026-03-03","","direct_data","yearly",97750.0,138000.0,"USD",True,"","","sponsored","","### **Job Title**

Inside Sales Account Manager, Install Base \\- Diagnostic Imaging
### **Job Description**

As an Inside Sales Account Manager, Install Base \\- Diagnostic Imaging (Remote) you will be responsible for ensuring the team has effective customer relationships, developing opportunities for growth within an existing customer base, and assuring market penetration and profitability while achieving sales and funnel growth within a territory that you will own. You will collaborate with the field and aid in account planning, forecasting and overall sales execution, close add ons, upgrades and service sales while building and increasing sales within the Diagnostic Imaging Install Base markets across North America.


**Your role:**

* Building relationships with key decision makers and acting as the point of contact for our Install Base, addressing and handling customer needs while maintaining and upselling within established accounts.
* Determining customers’ requirements by working closely with technical support channels and all internal/external partners to ensure accuracy in customer solutions.
* Building a strong internal and external network, leveraging existing customer relationships and strategy to increase revenue for our current Install Base.
* Using data analytics to contribute to territory planning/coverage and submitting budgetary and formal quote requests and changes.
* Achieve specific metrics related to funnel velocity, opportunity advancement and territory growth.

**You're the right fit if:**

* You’ve acquired 4\\+ years of experience in inside sales/sales and/or high level B2B customer management. Medical Device experience strongly preferred.
* Your skills include quoting, knowledge of the hospital buying process, selling into executive and C\\-Suite customers, selling medical devices, and/or service agreements, working with contracts, excellent communication, listening, presentation and closing skills.
* You have a High School Diploma. Bachelor's degree, strongly preferred.
* You must be able to successfully perform the following minimum Physical, Cognitive and Environmental job requirements with or without accommodation for this Sales position.
* You’re a self starter, team player, driven, highly motivated individual with the ability to achieve aggressive sales objectives and goals.

**How we work together**

We believe that we are better together than apart. For our office\\-based teams, this means working in\\-person at least 3 days per week. Onsite roles require full\\-time presence in the company’s facilities. Field roles are most effectively done outside of the company’s main facilities, generally at the customers’ or suppliers’ locations.


This is a field role.


**About Philips**

We are a health technology company. We built our entire company around the belief that every human matters, and we won't stop until everybody everywhere has access to the quality healthcare that we all deserve. Do the work of your life to help improve the lives of others.


* Learn more about our business .
* Discover our rich and exciting history.
* Learn more about our purpose.
* Learn more about our culture.

**Philips Transparency Details**

Total Target Earnings is composed of base salary \\+ target incentive. At 85% to 120% performance achievement, the Target Earning potential is $97,750 to $138,000, annually. Total compensation may be higher or lower dependent upon individual performance.


Target Earnings pay is only one component of the Philips Total Rewards compensation package, which includes a generous PTO, 401k (up to 7% match), HSA (with company contribution), stock purchase plan, education reimbursement and much more. Details about our benefits can be found here .


**Additional Information**

US work authorization is a precondition of employment. The company will not consider candidates who require sponsorship for a work\\-authorized visa, now or in the future.  



Company relocation benefits **will not** be provided for this position


\\#PrecisionDiagnosis


**\\#LI\\-PH1**

This requisition is expected to stay active for 45 days but may close earlier if a successful candidate is selected or business necessity dictates. Interested candidates are encouraged to apply as soon as possible to ensure consideration.


*Philips is an Equal Employment and Opportunity Employer including Disability/Vets and maintains a drug\\-free workplace.*","","https://www.glassdoor.com/Overview/W-EI_IE3496.htm","https://media.glassdoor.com/sql/3496/philips-squareLogo-1738188837085.png","","","","","","","","","","",""
"gd-1010051956890","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010051956890","","Key Account Manager -Pharmaceuticals","PASONA N A, INC.","Newport, MI","2026-03-03","","direct_data","yearly",160000.0,180000.0,"USD",False,"","","sponsored","xjiang@pasona.com","Globally growing pharmaceutical brand for Facial Angiofibroma associated with Tuberous Sclerosis Complex (TSC) company in the US seeking an experienced Key Account Manager to lead strategic engagement with TSC Centers of Excellence, major institutional accounts, and specialty practices in Dermatology and Neurology across **the Great Lakes region.**

  

Key Account Manager – Great Lakes (Remote)


Regions: MI, OH, WV, MN, WI • Must live within 1 hour of a major metro airport


Base Salary: $160–180K \\+ up to $60K incentive

 **What You’ll Do**


Build and manage relationships with large multidisciplinary TSC care centers and specialty practices.


Develop and execute regional business plans aligned with national launch strategy.


Drive product access, pull‑through, and adoption across complex healthcare systems.


Partner cross‑functionally with Medical Affairs, Marketing, Market Access, Legal, and Compliance.


Deliver product presentations, support formulary engagements, and collaborate with KOLs.


Represent the company at tradeshows and patient‑focused events.


Maintain CRM accuracy and use analytics to guide regional strategy.


Identify new business opportunities and expand institutional relationships.

 **What You Bring**


Bachelor’s degree preferred (Business, Marketing, Life Sciences).


7\\+ years in pharma/biotech/life sciences sales.


Strong understanding of FDA/PhRMA promotional requirements.


Experience in rare disease, dermatology, or neurology preferred.


Proven ability to navigate reimbursement and access dynamics.


Strategic mindset with strong execution skills.


Ability to travel overnight 60–70%.

  

To apply, please email your resume to xjiang@pasona.com","","https://www.glassdoor.com/Overview/W-EI_IE285118.htm","https://media.glassdoor.com/sql/285118/pasona-na-squarelogo-1426237112600.png","","","","","","","","","","",""
"gd-1010052010904","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010052010904","","Field Sales Representative II","Arrow Electronics, Inc.","Dayton, OH","2026-03-03","","direct_data","yearly",76600.0,154003.0,"USD",False,"","","sponsored","","**Position:**
=============


Field Sales Representative II**Job Description:**
====================

**What You Will Be Doing:**

* Define critical markets and new customers in the assigned sales territory, plan strategy and develop all key relationships to ensure strong foundation for solution selling. Maintain and promote relationships with customer contacts who may be determining design opportunities and deal with existing business challenges. Ensure customer satisfaction as it pertains to supply chain management and other value\\-added services. Requires experience interacting with vendors and customers in a technical and engineering environment. Extensive understanding of pricing programs and models within the electronics industry.
* Requires comprehensive ability to develop strategic plans for all assigned accounts, sell and market full set of Arrow offerings incorporating in\\-depth knowledge of Arrow’s key supplier lines.
* Must be able to prepare comprehensive internal quarterly business reviews (iQBR), presenting strategic plans and implementation steps to grow sales, demand creation and improve customer service. Ability to lead regular QBRs with major customers that unlock additional sales opportunities.
* Must be able to promote and sell the value add, supply chain, and full life cycle programs offered by Arrow. Requires proficiency in sales tracking systems, SalesForce.com, Oracle Establish and ability to build relationships with key suppliers.
* This job profile requires the assignment and participation in a sales compensation plan. A portion of OTE will be variable and tied to specific sales\\-related goals as set forth by Arrow (60/40 split).

 **What We Are Looking For:**

* 5\\-7 years of field sales experience required; bachelor’s degree preferred
* Understanding of the electronic components industry preferred
* Knowledge of the assigned market/territory **Cleveland** (e.g., customers, competition).
* Ability to promote and sell the value add, supply chain, and full life cycle programs offered by Arrow.
* Ability to develop strategic plans for assigned accounts
* Ability to articulate complex strategies and able to execute on them

**Work Arrangement:** Fully Remote: Must be able to travel to an Arrow office location as requested by Arrow leadership. **Position will cover Northern Ohio and the Cleveland market.**

**What’s In It For You:**


At Arrow, we recognize that financial rewards and great benefits are important aspects of an ideal job. That’s why we offer competitive financial compensation, including various compensation plans and a solid benefits package.

* Medical, Dental, Vision Insurance
* 401k, With Matching Contributions
* Short\\-Term/Long\\-Term Disability Insurance
* Health Savings Account (HSA)/Health Reimbursement Account (HRA) Options
* Paid Time Off (including sick, holiday, vacation, etc.)
* Tuition Reimbursement
* Growth Opportunities
* And more!


\\#LI\\-LH1

**Annual Hiring Range/Hourly Rate:**
====================================


$76,600\\.00 \\- $154,003\\.08
Actual compensation offer to candidate may vary from posted hiring range based upon geographic location, work experience, education, and/or skill level. The pay ratio between base pay and target incentive (if applicable) will be finalized at offer.

**Location:**
=============


US\\-OH\\-Ohio (Remote Employees)  


Remote work employees may be required to be present at the closest designated Arrow office for work\\-related purposes, at the Company’s request and sole discretion.**Time Type:**
==============


Full time**Job Category:**
=================


Sales**EEO Statement:**
==================


Arrow is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, gender, age, sexual orientation, gender identity, national origin, veteran or disability status. (Arrow EEO/AAP policy)

 *We anticipate this requisition will be open for a minimum of five days, though it may be open for a longer period of time. We encourage your prompt application.*

*In any materials you submit, you may redact or remove age\\-identifying information such as age, date of birth, or dates of school attendance or graduation. You will not be penalized for redacting or removing this information.*","","https://www.glassdoor.com/Overview/W-EI_IE56.htm","https://media.glassdoor.com/sql/56/arrow-electronics-squarelogo-1586816695490.png","","","","","","","","","","",""
"gd-1010051505186","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010051505186","","Account Executive","Qualys","New York, NY","2026-03-03","","direct_data","yearly",245000.0,275000.0,"USD",False,"","","organic","","","","https://www.glassdoor.com/Overview/W-EI_IE30935.htm","https://media.glassdoor.com/sql/30935/qualys-squarelogo-1504281590716.png","","","","","","","","","","",""
"gd-1010051653791","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010051653791","","Remote Sales Executive","Heavy Hammer","","2026-03-03","","direct_data","yearly",100000.0,175000.0,"USD",True,"","","organic","","","","https://www.glassdoor.com/Overview/W-EI_IE3065527.htm","https://media.glassdoor.com/sql/3065527/livebuyers-squarelogo-1646730388804.png","","","","","","","","","","",""
"gd-1010052588041","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010052588041","","New Business Account Executive","IDC Research Inc.","Boston, MA","2026-03-03","","direct_data","yearly",110000.0,150000.0,"USD",False,"","","organic","","","","https://www.glassdoor.com/Overview/W-EI_IE35698.htm","","","","","","","","","","","",""
"gd-1010051795275","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010051795275","","Associate Account Executive – SaaS Sales - Remote, UK","Qualcomm","","2026-03-03","","","","","","",True,"","","organic","","","","https://www.glassdoor.com/Overview/W-EI_IE640.htm","https://media.glassdoor.com/sql/640/qualcomm-squareLogo-1662140255236.png","","","","","","","","","","",""
"gd-1010051970722","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1010051970722","","Strategic Account Executive 4","Twilio","","2026-03-03","","direct_data","yearly",132192.0,183600.0,"USD",True,"","","organic","","","","https://www.glassdoor.com/Overview/W-EI_IE410790.htm","https://media.glassdoor.com/sql/410790/twilio-squarelogo-1429071171061.png","","","","","","","","","","",""
